user_id,song_id,timestamp,duration_sec
user_47,song_67,2025-03-23 06:30:20,187
user_50,song_43,2025-03-20 05:11:58,184
user_7,song_7,2025-03-24 20:33:15,61
user_50,song_74,2025-03-20 09:22:28,78
user_40,song_94,2025-03-19 12:15:06,60
user_7,song_74,2025-03-21 03:47:34,67
user_4,song_70,2025-03-24 16:11:22,276
user_25,song_100,2025-03-23 06:43:28,286
user_34,song_22,2025-03-18 03:26:21,282
user_41,song_33,2025-03-20 05:07:03,170
user_18,song_96,2025-03-20 06:24:20,106
user_5,song_46,2025-03-19 12:19:29,35
user_17,song_40,2025-03-23 01:20:35,106
user_39,song_100,2025-03-24 07:10:11,291
user_25,song_72,2025-03-22 21:15:32,293
user_49,song_58,2025-03-19 00:28:52,187
user_22,song_2,2025-03-20 09:05:14,295
user_13,song_25,2025-03-24 14:13:27,262
user_26,song_31,2025-03-19 18:57:27,275
user_40,song_11,2025-03-24 17:39:32,266
user_14,song_73,2025-03-20 11:52:47,79
user_35,song_82,2025-03-19 14:18:42,157
user_26,song_63,2025-03-20 04:24:50,190
user_14,song_68,2025-03-19 15:45:44,253
user_31,song_40,2025-03-18 09:28:12,128
user_36,song_41,2025-03-22 00:17:39,116
user_1,song_96,2025-03-18 17:36:53,122
user_49,song_38,2025-03-20 08:59:23,277
user_13,song_91,2025-03-21 15:47:19,129
user_8,song_71,2025-03-22 10:58:40,179
user_23,song_10,2025-03-22 08:21:02,139
user_38,song_86,2025-03-23 23:05:16,36
user_39,song_32,2025-03-19 15:50:36,38
user_19,song_73,2025-03-22 10:34:30,192
user_16,song_9,2025-03-24 20:59:46,241
user_17,song_58,2025-03-23 07:43:03,146
user_13,song_86,2025-03-19 18:16:40,100
user_24,song_96,2025-03-18 20:10:58,254
user_4,song_12,2025-03-23 14:52:52,235
user_1,song_80,2025-03-18 20:55:18,122
user_39,song_72,2025-03-20 08:44:58,203
user_30,song_69,2025-03-23 06:03:02,226
user_47,song_99,2025-03-20 09:54:02,66
user_19,song_27,2025-03-19 11:46:30,271
